

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,CholeskyCovarSampler,log_utilities,2,4,10000,0.07492267,0.00012063345194113948
1,2,CholeskyCovarSampler,log_utilities,1,8,10000,0.072397002,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,10000,0.071745863,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,10000,0.039620742,0.0
1,2,CholeskyCovarSampler,log_utilities,3,8,10000,0.063649734,0.0
1,2,CholeskyCovarSampler,log_utilities,4,8,10000,0.066237404,0.0
1,2,CholeskyCovarSampler,log_utilities,1,16,10000,0.036946646,0.0
1,2,CholeskyCovarSampler,log_utilities,2,16,10000,0.037820635,0.0
1,2,CholeskyCovarSampler,log_utilities,3,16,10000,0.04822002,0.0
1,2,CholeskyCovarSampler,log_utilities,6,16,10000,0.031041787,0.0
1,2,CholeskyCovarSampler,log_utilities,8,16,10000,0.052757075,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,100000,0.831041337,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,100000,0.801221494,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,100000,0.688029238,1.9721522630525295e-31
1,2,EigenCovarSampler,linear_utilities,3,8,100000,0.735192951,0.0
1,2,EigenCovarSampler,linear_utilities,4,8,100000,0.690122174,0.15477595405323177
1,2,EigenCovarSampler,linear_utilities,1,4,100000,1.395108305,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,100000,1.381590068,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,100000,1.241859614,0.0
1,2,EigenCovarSampler,linear_utilities,2,4,100000,1.169454796,0.10312448410951934
1,2,EigenCovarSampler,linear_utilities,2,4,100000,1.174276673,0.1846581893418573
1,2,EigenCovarSampler,linear_utilities,1,8,100000,0.722622939,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,100000,0.861748833,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,100000,0.714562146,0.0
1,2,EigenCovarSampler,linear_utilities,3,8,100000,0.785159603,0.0
1,2,EigenCovarSampler,linear_utilities,4,8,100000,0.676068307,0.0018329475158745995
1,2,EigenCovarSampler,linear_utilities,1,16,100000,0.54739247,0.0
1,2,EigenCovarSampler,linear_utilities,2,16,100000,0.581697858,0.0
1,2,EigenCovarSampler,linear_utilities,3,16,100000,0.468955625,0.0
1,2,EigenCovarSampler,linear_utilities,6,16,100000,0.483926438,1.9721522630525295e-31
1,2,EigenCovarSampler,linear_utilities,8,16,100000,0.486890889,0.17907676618614365
1,2,CholeskyCovarSampler,linear_utilities,1,8,100000,0.71513372,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,8,100000,0.712200749,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,8,100000,1.082142188,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,8,100000,1.066410692,0.0
1,2,CholeskyCovarSampler,linear_utilities,4,8,100000,1.238876774,1.4658422775926135e-13
1,2,CholeskyCovarSampler,linear_utilities,1,4,100000,1.444007014,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,4,100000,1.361628499,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,4,100000,1.294579448,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,4,100000,2.439821843,0.02473355381754598
1,2,CholeskyCovarSampler,linear_utilities,2,4,100000,2.031561085,1.60718426240734e-14
1,2,CholeskyCovarSampler,linear_utilities,1,8,100000,0.726633002,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,8,100000,0.680041465,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,8,100000,1.082530726,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,8,100000,1.142910991,4.437342591868191e-31
1,2,CholeskyCovarSampler,linear_utilities,4,8,100000,1.26709176,5.6792864093375105e-12
1,2,CholeskyCovarSampler,linear_utilities,1,16,100000,0.473108664,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,16,100000,0.56518174,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,16,100000,0.571913063,0.0
1,2,CholeskyCovarSampler,linear_utilities,6,16,100000,0.680414126,0.0
1,2,CholeskyCovarSampler,linear_utilities,8,16,100000,0.659977554,0.0011624040815537524
1,2,EigenCovarSampler,log_utilities,1,8,100000,0.841291725,0.0
1,2,EigenCovarSampler,log_utilities,1,8,100000,0.772613784,0.0
1,2,EigenCovarSampler,log_utilities,2,8,100000,0.829781892,0.0
1,2,EigenCovarSampler,log_utilities,3,8,100000,0.749000505,0.0
1,2,EigenCovarSampler,log_utilities,4,8,100000,0.742519335,0.0
1,2,EigenCovarSampler,log_utilities,1,4,100000,1.45667388,0.0
1,2,EigenCovarSampler,log_utilities,1,4,100000,1.271977758,0.0
1,2,EigenCovarSampler,log_utilities,1,4,100000,1.395195589,4.930380657631324e-32
1,2,EigenCovarSampler,log_utilities,2,4,100000,1.264589783,0.0
1,2,EigenCovarSampler,log_utilities,2,4,100000,1.319238441,1.2818989709841442e-30
1,2,EigenCovarSampler,log_utilities,1,8,100000,0.787072916,0.0
1,2,EigenCovarSampler,log_utilities,1,8,100000,0.818689447,0.0
1,2,EigenCovarSampler,log_utilities,2,8,100000,0.785392659,4.930380657631324e-32
1,2,EigenCovarSampler,log_utilities,3,8,100000,0.659205956,0.0
1,2,EigenCovarSampler,log_utilities,4,8,100000,0.694702139,0.0
1,2,EigenCovarSampler,log_utilities,1,16,100000,0.456981651,0.0
1,2,EigenCovarSampler,log_utilities,2,16,100000,0.570173295,0.0
1,2,EigenCovarSampler,log_utilities,3,16,100000,0.472524814,0.0
1,2,EigenCovarSampler,log_utilities,6,16,100000,0.52305902,0.0
1,2,EigenCovarSampler,log_utilities,8,16,100000,0.542078381,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,1,8,100000,0.795804528,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,100000,0.849068717,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,100000,1.127498568,0.0
1,2,CholeskyCovarSampler,log_utilities,3,8,100000,1.247857272,0.0
1,2,CholeskyCovarSampler,log_utilities,4,8,100000,1.20826429,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,100000,1.446558433,0.0
1,2,CholeskyCovarSampler,log_utilities,1,4,100000,1.371322496,7.888609052210118e-31
1,2,CholeskyCovarSampler,log_utilities,1,4,100000,1.298719516,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,2,4,100000,1.951427475,0.0
1,2,CholeskyCovarSampler,log_utilities,2,4,100000,1.823604756,5.127595883936577e-30
1,2,CholeskyCovarSampler,log_utilities,1,8,100000,0.689946931,0.0
1,2,CholeskyCovarSampler,log_utilities,1,8,100000,0.700211222,0.0
1,2,CholeskyCovarSampler,log_utilities,2,8,100000,0.840890457,4.930380657631324e-32
1,2,CholeskyCovarSampler,log_utilities,3,8,100000,1.006540761,0.0
1,2,CholeskyCovarSampler,log_utilities,4,8,100000,1.066610481,1.2818989709841442e-30
1,2,CholeskyCovarSampler,log_utilities,1,16,100000,0.406837766,0.0
1,2,CholeskyCovarSampler,log_utilities,2,16,100000,0.405003567,0.0
1,2,CholeskyCovarSampler,log_utilities,3,16,100000,0.46493564,0.0
1,2,CholeskyCovarSampler,log_utilities,6,16,100000,0.596856353,0.0
1,2,CholeskyCovarSampler,log_utilities,8,16,100000,0.550810169,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,1000000,7.356114424,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,1000000,6.984557342,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,1000000,6.925475643,0.0
1,2,EigenCovarSampler,linear_utilities,3,8,1000000,7.177922728,7.888609052210118e-31
1,2,EigenCovarSampler,linear_utilities,4,8,1000000,7.297240257,0.1089721910369167
1,2,EigenCovarSampler,linear_utilities,1,4,1000000,11.977708859,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,1000000,12.176622816,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,1000000,12.117618115,0.0
1,2,EigenCovarSampler,linear_utilities,2,4,1000000,11.026447836,0.5750772668936905
1,2,EigenCovarSampler,linear_utilities,2,4,1000000,10.062084543,0.060773093918760804
1,2,EigenCovarSampler,linear_utilities,1,8,1000000,6.399336885,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,1000000,6.396542202,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,1000000,5.922910143,0.0
1,2,EigenCovarSampler,linear_utilities,3,8,1000000,6.183937932,0.0
1,2,EigenCovarSampler,linear_utilities,4,8,1000000,6.288789031,0.4272796639616286
1,2,EigenCovarSampler,linear_utilities,1,16,1000000,4.240485048,0.0
1,2,EigenCovarSampler,linear_utilities,2,16,1000000,4.352011933,0.0
1,2,EigenCovarSampler,linear_utilities,3,16,1000000,4.402664245,1.2449211160519093e-30
1,2,EigenCovarSampler,linear_utilities,6,16,1000000,4.471044132,0.0
1,2,EigenCovarSampler,linear_utilities,8,16,1000000,4.460878061,0.8480034972708063
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000000,8.555740389,4.930380657631324e-32
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000000,8.298664478,4.930380657631324e-32
1,2,CholeskyCovarSampler,linear_utilities,2,8,1000000,12.022439867,1.232595164407831e-32
1,2,CholeskyCovarSampler,linear_utilities,3,8,1000000,12.083043882,0.0
1,2,CholeskyCovarSampler,linear_utilities,4,8,1000000,12.543517776,1.2100574892918895e-5
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000000,14.949428375,1.1093356479670479e-31
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000000,15.213668095,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,4,1000000,15.09711814,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,4,1000000,21.518772842,4.979684464207637e-30
1,2,CholeskyCovarSampler,linear_utilities,2,4,1000000,22.212149586,1.232595164407831e-32
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000000,8.259725322,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,8,1000000,7.947076185,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,8,1000000,12.317930383,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,8,1000000,13.205574687,4.930380657631324e-32
1,2,CholeskyCovarSampler,linear_utilities,4,8,1000000,13.562211592,1.3972487396605048e-5
1,2,CholeskyCovarSampler,linear_utilities,1,16,1000000,5.512966603,0.0
1,2,CholeskyCovarSampler,linear_utilities,2,16,1000000,7.039459274,0.0
1,2,CholeskyCovarSampler,linear_utilities,3,16,1000000,7.195708013,0.0
1,2,CholeskyCovarSampler,linear_utilities,6,16,1000000,7.727293248,0.0
1,2,CholeskyCovarSampler,linear_utilities,8,16,1000000,7.715577063,1.599674330320127e-27
1,2,EigenCovarSampler,log_utilities,1,8,1000000,6.536685386,0.0
1,2,EigenCovarSampler,log_utilities,1,8,1000000,6.614380821,0.0
1,2,EigenCovarSampler,log_utilities,2,8,1000000,6.046389141,0.0
1,2,EigenCovarSampler,log_utilities,3,8,1000000,5.758555252,0.0
1,2,EigenCovarSampler,log_utilities,4,8,1000000,6.238900981,0.0
1,2,EigenCovarSampler,log_utilities,1,4,1000000,9.795079431,0.0
